"TIME","GEO","ICCS","UNIT","Value","Flag and Footnotes"
"2008","Germany (until 1990 former territory of the FRG)","Kidnapping","Per hundred thousand inhabitants","2.26",""
"2008","Germany (until 1990 former territory of the FRG)","Sexual violence","Per hundred thousand inhabitants","69.07",""
"2008","Germany (until 1990 former territory of the FRG)","Rape","Per hundred thousand inhabitants","8.87",""
"2008","Germany (until 1990 former territory of the FRG)","Sexual assault","Per hundred thousand inhabitants","60.20",""
"2008","Germany (until 1990 former territory of the FRG)","Robbery","Per hundred thousand inhabitants","60.71",""
"2008","Germany (until 1990 former territory of the FRG)","Burglary","Per hundred thousand inhabitants","474.80",""
"2008","Germany (until 1990 former territory of the FRG)","Burglary of private residential premises","Per hundred thousand inhabitants","131.70",""
"2008","Germany (until 1990 former territory of the FRG)","Theft","Per hundred thousand inhabitants","2,496.92",""
"2008","Germany (until 1990 former territory of the FRG)","Theft of a motorized land vehicle","Per hundred thousand inhabitants","108.29",""
"2008","Germany (until 1990 former territory of the FRG)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","291.85",""
"2008","Estonia","Intentional homicide","Per hundred thousand inhabitants","6.28",""
"2008","Estonia","Attempted intentional homicide","Per hundred thousand inhabitants","1.49",""
"2008","Estonia","Assault","Per hundred thousand inhabitants","10.46",""
"2008","Estonia","Kidnapping","Per hundred thousand inhabitants","0.15",""
"2008","Estonia","Sexual violence","Per hundred thousand inhabitants","20.02",""
"2008","Estonia","Rape","Per hundred thousand inhabitants","11.95",""
"2008","Estonia","Sexual assault","Per hundred thousand inhabitants","8.07",""
"2008","Estonia","Robbery","Per hundred thousand inhabitants","67.91",""
"2008","Estonia","Burglary","Per hundred thousand inhabitants",":",""
"2008","Estonia","Burglary of private residential premises","Per hundred thousand inhabitants","248.12",""
"2008","Estonia","Theft","Per hundred thousand inhabitants","1,756.22",""
"2008","Estonia","Theft of a motorized land vehicle","Per hundred thousand inhabitants","77.33",""
"2008","Estonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","573.13",""
"2008","Ireland","Intentional homicide","Per hundred thousand inhabitants","1.14",""
"2008","Ireland","Attempted intentional homicide","Per hundred thousand inhabitants","0.24",""
"2008","Ireland","Assault","Per hundred thousand inhabitants","86.20",""
"2008","Ireland","Kidnapping","Per hundred thousand inhabitants","1.30",""
"2008","Ireland","Sexual violence","Per hundred thousand inhabitants","26.91",""
"2008","Ireland","Rape","Per hundred thousand inhabitants","7.42",""
"2008","Ireland","Sexual assault","Per hundred thousand inhabitants","19.49",""
"2008","Ireland","Robbery","Per hundred thousand inhabitants","52.22",""
"2008","Ireland","Burglary","Per hundred thousand inhabitants","566.69",""
"2008","Ireland","Burglary of private residential premises","Per hundred thousand inhabitants",":",""
"2008","Ireland","Theft","Per hundred thousand inhabitants","1,723.30",""
"2008","Ireland","Theft of a motorized land vehicle","Per hundred thousand inhabitants","324.40",""
"2008","Ireland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","523.93",""
"2008","Greece","Intentional homicide","Per hundred thousand inhabitants","1.29",""
"2008","Greece","Attempted intentional homicide","Per hundred thousand inhabitants","1.48",""
"2008","Greece","Assault","Per hundred thousand inhabitants","3.89",""
"2008","Greece","Kidnapping","Per hundred thousand inhabitants","0.27",""
"2008","Greece","Sexual violence","Per hundred thousand inhabitants","6.10",""
"2008","Greece","Rape","Per hundred thousand inhabitants","2.07",""
"2008","Greece","Sexual assault","Per hundred thousand inhabitants","4.02",""
"2008","Greece","Robbery","Per hundred thousand inhabitants","29.45",""
"2008","Greece","Burglary","Per hundred thousand inhabitants","527.86",""
"2008","Greece","Burglary of private residential premises","Per hundred thousand inhabitants","160.55",""
"2008","Greece","Theft","Per hundred thousand inhabitants","825.87",""
"2008","Greece","Theft of a motorized land vehicle","Per hundred thousand inhabitants","212.91",""
"2008","Greece","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","109.97",""
"2008","Spain","Intentional homicide","Per hundred thousand inhabitants","0.89",""
"2008","Spain","Attempted intentional homicide","Per hundred thousand inhabitants","1.94",""
"2008","Spain","Assault","Per hundred thousand inhabitants","159.41",""
"2008","Spain","Kidnapping","Per hundred thousand inhabitants","0.52",""
"2008","Spain","Sexual violence","Per hundred thousand inhabitants","23.84",""
"2008","Spain","Rape","Per hundred thousand inhabitants","5.34",""
"2008","Spain","Sexual assault","Per hundred thousand inhabitants","18.50",""
"2008","Spain","Robbery","Per hundred thousand inhabitants","156.39",""
"2008","Spain","Burglary","Per hundred thousand inhabitants","382.67",""
"2008","Spain","Burglary of private residential premises","Per hundred thousand inhabitants","205.65",""
"2008","Spain","Theft","Per hundred thousand inhabitants","520.10",""
"2008","Spain","Theft of a motorized land vehicle","Per hundred thousand inhabitants","201.88",""
"2008","Spain","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","31.89",""
"2008","France","Intentional homicide","Per hundred thousand inhabitants","1.60",""
"2008","France","Attempted intentional homicide","Per hundred thousand inhabitants","1.66",""
"2008","France","Assault","Per hundred thousand inhabitants","293.62",""
"2008","France","Kidnapping","Per hundred thousand inhabitants","3.24",""
"2008","France","Sexual violence","Per hundred thousand inhabitants","37.54",""
"2008","France","Rape","Per hundred thousand inhabitants","16.06",""
"2008","France","Sexual assault","Per hundred thousand inhabitants","21.49",""
"2008","France","Robbery","Per hundred thousand inhabitants","166.60",""
"2008","France","Burglary","Per hundred thousand inhabitants","480.80",""
"2008","France","Burglary of private residential premises","Per hundred thousand inhabitants","259.74",""
"2008","France","Theft","Per hundred thousand inhabitants","1,503.87",""
"2008","France","Theft of a motorized land vehicle","Per hundred thousand inhabitants","330.41",""
"2008","France","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","9.57",""
"2008","Croatia","Intentional homicide","Per hundred thousand inhabitants","1.65",""
"2008","Croatia","Attempted intentional homicide","Per hundred thousand inhabitants",":",""
"2008","Croatia","Assault","Per hundred thousand inhabitants","26.16",""
"2008","Croatia","Kidnapping","Per hundred thousand inhabitants","0.37",""
"2008","Croatia","Sexual violence","Per hundred thousand inhabitants","17.74",""
"2008","Croatia","Rape","Per hundred thousand inhabitants","4.36",""
"2008","Croatia","Sexual assault","Per hundred thousand inhabitants","13.38",""
"2008","Croatia","Robbery","Per hundred thousand inhabitants","29.20",""
"2008","Croatia","Burglary","Per hundred thousand inhabitants","405.17",""
"2008","Croatia","Burglary of private residential premises","Per hundred thousand inhabitants","62.94",""
"2008","Croatia","Theft","Per hundred thousand inhabitants","354.83",""
"2008","Croatia","Theft of a motorized land vehicle","Per hundred thousand inhabitants","44.69",""
"2008","Croatia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","182.79",""
"2008","Italy","Intentional homicide","Per hundred thousand inhabitants","1.05",""
"2008","Italy","Attempted intentional homicide","Per hundred thousand inhabitants","2.76",""
"2008","Italy","Assault","Per hundred thousand inhabitants","112.17",""
"2008","Italy","Kidnapping","Per hundred thousand inhabitants","0.55",""
"2008","Italy","Sexual violence","Per hundred thousand inhabitants",":",""
"2008","Italy","Rape","Per hundred thousand inhabitants",":",""
"2008","Italy","Sexual assault","Per hundred thousand inhabitants","8.34",""
"2008","Italy","Robbery","Per hundred thousand inhabitants","110.03",""
"2008","Italy","Burglary","Per hundred thousand inhabitants",":",""
"2008","Italy","Burglary of private residential premises","Per hundred thousand inhabitants","257.04",""
"2008","Italy","Theft","Per hundred thousand inhabitants","2,085.33",""
"2008","Italy","Theft of a motorized land vehicle","Per hundred thousand inhabitants","392.07",""
"2008","Italy","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","58.11",""
"2008","Cyprus","Intentional homicide","Per hundred thousand inhabitants","1.16",""
"2008","Cyprus","Attempted intentional homicide","Per hundred thousand inhabitants","1.67",""
"2008","Cyprus","Assault","Per hundred thousand inhabitants","21.51",""
"2008","Cyprus","Kidnapping","Per hundred thousand inhabitants","1.55",""
"2008","Cyprus","Sexual violence","Per hundred thousand inhabitants","12.49",""
"2008","Cyprus","Rape","Per hundred thousand inhabitants","4.38",""
"2008","Cyprus","Sexual assault","Per hundred thousand inhabitants","8.12",""
"2008","Cyprus","Robbery","Per hundred thousand inhabitants","9.15",""
"2008","Cyprus","Burglary","Per hundred thousand inhabitants","333.23",""
"2008","Cyprus","Burglary of private residential premises","Per hundred thousand inhabitants",":",""
"2008","Cyprus","Theft","Per hundred thousand inhabitants","411.03",""
"2008","Cyprus","Theft of a motorized land vehicle","Per hundred thousand inhabitants","230.06",""
"2008","Cyprus","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","100.34",""
"2008","Latvia","Intentional homicide","Per hundred thousand inhabitants","4.52",""
"2008","Latvia","Attempted intentional homicide","Per hundred thousand inhabitants","0.91",""
"2008","Latvia","Assault","Per hundred thousand inhabitants","61.41",""
"2008","Latvia","Kidnapping","Per hundred thousand inhabitants","0.14",""
"2008","Latvia","Sexual violence","Per hundred thousand inhabitants",":",""
"2008","Latvia","Rape","Per hundred thousand inhabitants","4.56",""
"2008","Latvia","Sexual assault","Per hundred thousand inhabitants",":",""
"2008","Latvia","Robbery","Per hundred thousand inhabitants","65.74",""
"2008","Latvia","Burglary","Per hundred thousand inhabitants","128.52",""
"2008","Latvia","Burglary of private residential premises","Per hundred thousand inhabitants","78.34",""
"2008","Latvia","Theft","Per hundred thousand inhabitants","1,179.12",""
"2008","Latvia","Theft of a motorized land vehicle","Per hundred thousand inhabitants","100.60",""
"2008","Latvia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","114.61",""
"2008","Lithuania","Intentional homicide","Per hundred thousand inhabitants","8.90",""
"2008","Lithuania","Attempted intentional homicide","Per hundred thousand inhabitants","0.47",""
"2008","Lithuania","Assault","Per hundred thousand inhabitants","7.81",""
"2008","Lithuania","Kidnapping","Per hundred thousand inhabitants","1.90",""
"2008","Lithuania","Sexual violence","Per hundred thousand inhabitants","11.45",""
"2008","Lithuania","Rape","Per hundred thousand inhabitants","5.10",""
"2008","Lithuania","Sexual assault","Per hundred thousand inhabitants","6.35",""
"2008","Lithuania","Robbery","Per hundred thousand inhabitants","107.45",""
"2008","Lithuania","Burglary","Per hundred thousand inhabitants",":",""
"2008","Lithuania","Burglary of private residential premises","Per hundred thousand inhabitants","189.13",""
"2008","Lithuania","Theft","Per hundred thousand inhabitants","921.68",""
"2008","Lithuania","Theft of a motorized land vehicle","Per hundred thousand inhabitants","79.47",""
"2008","Lithuania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","57.18",""
"2008","Luxembourg","Intentional homicide","Per hundred thousand inhabitants","1.45",""
"2008","Luxembourg","Attempted intentional homicide","Per hundred thousand inhabitants","17.36",""
"2008","Luxembourg","Assault","Per hundred thousand inhabitants","478.92",""
"2008","Luxembourg","Kidnapping","Per hundred thousand inhabitants","6.82",""
"2008","Luxembourg","Sexual violence","Per hundred thousand inhabitants",":",""
"2008","Luxembourg","Rape","Per hundred thousand inhabitants","11.78",""
"2008","Luxembourg","Sexual assault","Per hundred thousand inhabitants",":",""
"2008","Luxembourg","Robbery","Per hundred thousand inhabitants","67.38",""
"2008","Luxembourg","Burglary","Per hundred thousand inhabitants","576.48",""
"2008","Luxembourg","Burglary of private residential premises","Per hundred thousand inhabitants","308.39",""
"2008","Luxembourg","Theft","Per hundred thousand inhabitants","1,451.22",""
"2008","Luxembourg","Theft of a motorized land vehicle","Per hundred thousand inhabitants","71.10",""
"2008","Luxembourg","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","277.59",""
"2008","Hungary","Intentional homicide","Per hundred thousand inhabitants","1.46",""
"2008","Hungary","Attempted intentional homicide","Per hundred thousand inhabitants","1.44",""
"2008","Hungary","Assault","Per hundred thousand inhabitants","126.99",""
"2008","Hungary","Kidnapping","Per hundred thousand inhabitants","0.11",""
"2008","Hungary","Sexual violence","Per hundred thousand inhabitants","4.62",""
"2008","Hungary","Rape","Per hundred thousand inhabitants","2.13",""
"2008","Hungary","Sexual assault","Per hundred thousand inhabitants","2.49",""
"2008","Hungary","Robbery","Per hundred thousand inhabitants","31.14",""
"2008","Hungary","Burglary","Per hundred thousand inhabitants","428.08",""
"2008","Hungary","Burglary of private residential premises","Per hundred thousand inhabitants","191.52",""
"2008","Hungary","Theft","Per hundred thousand inhabitants","1,265.50",""
"2008","Hungary","Theft of a motorized land vehicle","Per hundred thousand inhabitants","79.46",""
"2008","Hungary","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","54.39",""
"2008","Malta","Intentional homicide","Per hundred thousand inhabitants","1.47",""
"2008","Malta","Attempted intentional homicide","Per hundred thousand inhabitants","1.23",""
"2008","Malta","Assault","Per hundred thousand inhabitants","48.06",""
"2008","Malta","Kidnapping","Per hundred thousand inhabitants","0.00",""
"2008","Malta","Sexual violence","Per hundred thousand inhabitants","19.62",""
"2008","Malta","Rape","Per hundred thousand inhabitants","4.66",""
"2008","Malta","Sexual assault","Per hundred thousand inhabitants","14.96",""
"2008","Malta","Robbery","Per hundred thousand inhabitants","36.04",""
"2008","Malta","Burglary","Per hundred thousand inhabitants","355.54",""
"2008","Malta","Burglary of private residential premises","Per hundred thousand inhabitants","193.22",""
"2008","Malta","Theft","Per hundred thousand inhabitants","2,090.32",""
"2008","Malta","Theft of a motorized land vehicle","Per hundred thousand inhabitants","97.59",""
"2008","Malta","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","44.14",""
"2008","Netherlands","Intentional homicide","Per hundred thousand inhabitants","0.91",""
"2008","Netherlands","Attempted intentional homicide","Per hundred thousand inhabitants","9.14",""
"2008","Netherlands","Assault","Per hundred thousand inhabitants","420.62",""
"2008","Netherlands","Kidnapping","Per hundred thousand inhabitants","4.63",""
"2008","Netherlands","Sexual violence","Per hundred thousand inhabitants","63.97",""
"2008","Netherlands","Rape","Per hundred thousand inhabitants","11.86",""
"2008","Netherlands","Sexual assault","Per hundred thousand inhabitants","52.12",""
"2008","Netherlands","Robbery","Per hundred thousand inhabitants","80.31",""
"2008","Netherlands","Burglary","Per hundred thousand inhabitants","1,753.36",""
"2008","Netherlands","Burglary of private residential premises","Per hundred thousand inhabitants","556.19",""
"2008","Netherlands","Theft","Per hundred thousand inhabitants","4,292.25",""
"2008","Netherlands","Theft of a motorized land vehicle","Per hundred thousand inhabitants","132.06",""
"2008","Netherlands","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","115.05",""
"2008","Austria","Intentional homicide","Per hundred thousand inhabitants","0.70",""
"2008","Austria","Attempted intentional homicide","Per hundred thousand inhabitants","0.70",""
"2008","Austria","Assault","Per hundred thousand inhabitants","47.48",""
"2008","Austria","Kidnapping","Per hundred thousand inhabitants","0.13",""
"2008","Austria","Sexual violence","Per hundred thousand inhabitants","50.37",""
"2008","Austria","Rape","Per hundred thousand inhabitants","8.34",""
"2008","Austria","Sexual assault","Per hundred thousand inhabitants","42.03",""
"2008","Austria","Robbery","Per hundred thousand inhabitants","57.61",""
"2008","Austria","Burglary","Per hundred thousand inhabitants","1,255.37",""
"2008","Austria","Burglary of private residential premises","Per hundred thousand inhabitants","206.79",""
"2008","Austria","Theft","Per hundred thousand inhabitants","2,094.47",""
"2008","Austria","Theft of a motorized land vehicle","Per hundred thousand inhabitants","108.92",""
"2008","Austria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","23.83",""
"2008","Poland","Intentional homicide","Per hundred thousand inhabitants","1.21",""
"2008","Poland","Attempted intentional homicide","Per hundred thousand inhabitants","0.78",""
"2008","Poland","Assault","Per hundred thousand inhabitants",":",""
"2008","Poland","Kidnapping","Per hundred thousand inhabitants","0.10",""
"2008","Poland","Sexual violence","Per hundred thousand inhabitants",":",""
"2008","Poland","Rape","Per hundred thousand inhabitants","4.23",""
"2008","Poland","Sexual assault","Per hundred thousand inhabitants",":",""
"2008","Poland","Robbery","Per hundred thousand inhabitants","55.32",""
"2008","Poland","Burglary","Per hundred thousand inhabitants","325.50",""
"2008","Poland","Burglary of private residential premises","Per hundred thousand inhabitants","54.81",""
"2008","Poland","Theft","Per hundred thousand inhabitants","562.54",""
"2008","Poland","Theft of a motorized land vehicle","Per hundred thousand inhabitants","46.36",""
"2008","Poland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","150.55",""
"2008","Portugal","Intentional homicide","Per hundred thousand inhabitants","1.17",""
"2008","Portugal","Attempted intentional homicide","Per hundred thousand inhabitants",":",""
"2008","Portugal","Assault","Per hundred thousand inhabitants","7.20",""
"2008","Portugal","Kidnapping","Per hundred thousand inhabitants","4.66",""
"2008","Portugal","Sexual violence","Per hundred thousand inhabitants","21.33",""
"2008","Portugal","Rape","Per hundred thousand inhabitants","2.98",""
"2008","Portugal","Sexual assault","Per hundred thousand inhabitants","18.35",""
"2008","Portugal","Robbery","Per hundred thousand inhabitants","197.61",""
"2008","Portugal","Burglary","Per hundred thousand inhabitants","509.33",""
"2008","Portugal","Burglary of private residential premises","Per hundred thousand inhabitants","281.08",""
"2008","Portugal","Theft","Per hundred thousand inhabitants","1,202.99",""
"2008","Portugal","Theft of a motorized land vehicle","Per hundred thousand inhabitants","239.49",""
"2008","Portugal","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","35.33",""
"2008","Romania","Intentional homicide","Per hundred thousand inhabitants","2.28",""
"2008","Romania","Attempted intentional homicide","Per hundred thousand inhabitants","1.99",""
"2008","Romania","Assault","Per hundred thousand inhabitants","45.83",""
"2008","Romania","Kidnapping","Per hundred thousand inhabitants","1.28",""
"2008","Romania","Sexual violence","Per hundred thousand inhabitants","7.59",""
"2008","Romania","Rape","Per hundred thousand inhabitants","4.92",""
"2008","Romania","Sexual assault","Per hundred thousand inhabitants","2.67",""
"2008","Romania","Robbery","Per hundred thousand inhabitants","11.94",""
"2008","Romania","Burglary","Per hundred thousand inhabitants","49.84",""
"2008","Romania","Burglary of private residential premises","Per hundred thousand inhabitants","49.84",""
"2008","Romania","Theft","Per hundred thousand inhabitants","202.92",""
"2008","Romania","Theft of a motorized land vehicle","Per hundred thousand inhabitants","11.41",""
"2008","Romania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","17.55",""
"2008","Slovenia","Intentional homicide","Per hundred thousand inhabitants","0.55",""
"2008","Slovenia","Attempted intentional homicide","Per hundred thousand inhabitants","0.95",""
"2008","Slovenia","Assault","Per hundred thousand inhabitants","106.20",""
"2008","Slovenia","Kidnapping","Per hundred thousand inhabitants","0.35",""
"2008","Slovenia","Sexual violence","Per hundred thousand inhabitants","19.05",""
"2008","Slovenia","Rape","Per hundred thousand inhabitants","2.84",""
"2008","Slovenia","Sexual assault","Per hundred thousand inhabitants","16.22",""
"2008","Slovenia","Robbery","Per hundred thousand inhabitants","19.20",""
"2008","Slovenia","Burglary","Per hundred thousand inhabitants","761.59",""
"2008","Slovenia","Burglary of private residential premises","Per hundred thousand inhabitants","101.28",""
"2008","Slovenia","Theft","Per hundred thousand inhabitants","1,430.90",""
"2008","Slovenia","Theft of a motorized land vehicle","Per hundred thousand inhabitants","28.95",""
"2008","Slovenia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","71.33",""
"2008","Slovakia","Intentional homicide","Per hundred thousand inhabitants","1.75",""
"2008","Slovakia","Attempted intentional homicide","Per hundred thousand inhabitants","0.00",""
"2008","Slovakia","Assault","Per hundred thousand inhabitants","50.26",""
"2008","Slovakia","Kidnapping","Per hundred thousand inhabitants","0.06",""
"2008","Slovakia","Sexual violence","Per hundred thousand inhabitants",":",""
"2008","Slovakia","Rape","Per hundred thousand inhabitants","2.83",""
"2008","Slovakia","Sexual assault","Per hundred thousand inhabitants",":",""
"2008","Slovakia","Robbery","Per hundred thousand inhabitants","25.50",""
"2008","Slovakia","Burglary","Per hundred thousand inhabitants","281.97",""
"2008","Slovakia","Burglary of private residential premises","Per hundred thousand inhabitants","39.40",""
"2008","Slovakia","Theft","Per hundred thousand inhabitants","627.65",""
"2008","Slovakia","Theft of a motorized land vehicle","Per hundred thousand inhabitants","76.92",""
"2008","Slovakia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","10.01",""
"2008","Finland","Intentional homicide","Per hundred thousand inhabitants","2.51",""
"2008","Finland","Attempted intentional homicide","Per hundred thousand inhabitants","6.85",""
"2008","Finland","Assault","Per hundred thousand inhabitants","42.03",""
"2008","Finland","Kidnapping","Per hundred thousand inhabitants","0.00",""
"2008","Finland","Sexual violence","Per hundred thousand inhabitants","51.15",""
"2008","Finland","Rape","Per hundred thousand inhabitants","17.26",""
"2008","Finland","Sexual assault","Per hundred thousand inhabitants","33.88",""
"2008","Finland","Robbery","Per hundred thousand inhabitants","31.99",""
"2008","Finland","Burglary","Per hundred thousand inhabitants","464.75",""
"2008","Finland","Burglary of private residential premises","Per hundred thousand inhabitants","112.78",""
"2008","Finland","Theft","Per hundred thousand inhabitants","2,631.38",""
"2008","Finland","Theft of a motorized land vehicle","Per hundred thousand inhabitants","260.4",""
"2008","Finland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","292.08",""
"2008","Sweden","Intentional homicide","Per hundred thousand inhabitants","0.89",""
"2008","Sweden","Attempted intentional homicide","Per hundred thousand inhabitants","8.17",""
"2008","Sweden","Assault","Per hundred thousand inhabitants","58.06",""
"2008","Sweden","Kidnapping","Per hundred thousand inhabitants",":",""
"2008","Sweden","Sexual violence","Per hundred thousand inhabitants","153.09",""
"2008","Sweden","Rape","Per hundred thousand inhabitants","53.37",""
"2008","Sweden","Sexual assault","Per hundred thousand inhabitants","99.72",""
"2008","Sweden","Robbery","Per hundred thousand inhabitants","97.02",""
"2008","Sweden","Burglary","Per hundred thousand inhabitants","1,026.67",""
"2008","Sweden","Burglary of private residential premises","Per hundred thousand inhabitants","412.40",""
"2008","Sweden","Theft","Per hundred thousand inhabitants","4,752.79",""
"2008","Sweden","Theft of a motorized land vehicle","Per hundred thousand inhabitants","486.95",""
"2008","Sweden","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","868.94",""
"2008","England and Wales","Intentional homicide","Per hundred thousand inhabitants","1.17",""
"2008","England and Wales","Attempted intentional homicide","Per hundred thousand inhabitants",":",""
"2008","England and Wales","Assault","Per hundred thousand inhabitants","767.40",""
"2008","England and Wales","Kidnapping","Per hundred thousand inhabitants","3.73",""
"2008","England and Wales","Sexual violence","Per hundred thousand inhabitants","64.65",""
"2008","England and Wales","Rape","Per hundred thousand inhabitants","23.98",""
"2008","England and Wales","Sexual assault","Per hundred thousand inhabitants","40.67",""
"2008","England and Wales","Robbery","Per hundred thousand inhabitants","146.72",""
"2008","England and Wales","Burglary","Per hundred thousand inhabitants","1,064.87",""
"2008","England and Wales","Burglary of private residential premises","Per hundred thousand inhabitants","520.79",""
"2008","England and Wales","Theft","Per hundred thousand inhabitants","2,916.32",""
"2008","England and Wales","Theft of a motorized land vehicle","Per hundred thousand inhabitants","269.59",""
"2008","England and Wales","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","54.72",""
"2008","Scotland","Intentional homicide","Per hundred thousand inhabitants","1.83",""
"2008","Scotland","Attempted intentional homicide","Per hundred thousand inhabitants","13.46",""
"2008","Scotland","Assault","Per hundred thousand inhabitants","1,540.54",""
"2008","Scotland","Kidnapping","Per hundred thousand inhabitants","6.15",""
"2008","Scotland","Sexual violence","Per hundred thousand inhabitants","86.98",""
